Date,VNINDEX,AD_Line
2000-07-28,100.0,0
2000-07-31,101.55,2
2000-08-02,103.38,4
2000-08-04,105.2,6
2000-08-07,106.92,8
2000-08-09,108.64,10
2000-08-11,110.36,12
2000-08-14,112.08,14
2000-08-16,113.8,16
2000-08-18,115.52,18
2000-08-21,117.24,20
2000-08-23,118.96,22
2000-08-25,118.84,22
2000-08-28,117.0,20
2000-08-30,115.15,18
2000-09-01,113.37,16
2000-09-06,112.51,15
2000-09-08,112.39,15
2000-09-11,114.11,17
2000-09-13,116.08,19
2000-09-15,118.04,21
2000-09-18,118.19,21
2000-09-20,118.21,21
2000-09-22,118.76,21
2000-09-25,118.98,22
2000-09-27,119.69,24
2000-09-29,120.71,27
2000-10-02,120.92,28
2000-10-04,121.14,29
2000-10-06,122.21,30
2000-10-09,124.33,33
2000-10-11,126.45,36
2000-10-13,128.57,39
2000-10-16,130.71,42
2000-10-18,132.85,45
2000-10-20,135.04,48
2000-10-23,136.55,50
2000-10-25,137.08,51
2000-10-27,139.57,54
2000-10-30,140.84,56
2000-11-01,143.33,59
2000-11-03,145.83,62
2000-11-06,148.57,65
2000-11-08,151.32,68
2000-11-10,154.08,71
2000-11-13,156.84,74
2000-11-15,159.6,77
2000-11-17,162.36,80
2000-11-20,165.17,83
2000-11-22,165.52,84
2000-11-24,166.17,85
2000-11-27,165.6,86
2000-11-29,168.73,89
2000-12-01,171.87,92
2000-12-04,175.0,95
2000-12-06,178.13,98
2000-12-08,181.26,101
2000-12-11,181.94,102
2000-12-13,184.48,103
2000-12-15,187.62,106
2000-12-18,191.11,110
2000-12-20,194.85,114
2000-12-22,198.58,118
2000-12-25,202.32,122
2000-12-27,203.09,124
2000-12-29,206.83,128
2001-01-03,210.56,132
2001-01-05,214.32,136
2001-01-08,218.12,140
2001-01-10,222.15,144
2001-01-12,225.67,146
2001-01-15,228.35,149
2001-01-17,232.68,153
2001-01-19,236.97,157
2001-01-29,241.36,161
2001-01-31,245.8,165
2001-02-02,250.23,169
2001-02-05,254.96,173
2001-02-07,259.93,177
2001-02-09,260.15,179
2001-02-12,256.18,179
2001-02-14,252.21,179
2001-02-16,248.98,179
2001-02-19,245.99,179
2001-02-21,246.75,181
2001-02-23,251.22,185
2001-02-26,255.61,189
2001-02-28,252.4,189
2001-03-02,253.64,191
2001-03-05,250.73,191
2001-03-07,248.05,191
2001-03-09,252.61,195
2001-03-12,255.99,199
2001-03-14,257.7,202
2001-03-16,258.52,204
2001-03-19,260.29,207
2001-03-21,261.11,209
2001-03-23,259.6,210
2001-03-26,260.11,212
2001-03-28,264.7,216
2001-03-30,269.3,220
2001-04-02,274.43,224
2001-04-04,279.56,228
2001-04-06,284.69,232
2001-04-09,289.82,236
2001-04-11,295.09,240
2001-04-13,300.36,244
2001-04-16,306.16,248
2001-04-18,311.96,252
2001-04-20,317.76,256
2001-04-23,313.74,256
2001-04-25,315.27,258
2001-04-27,321.07,262
2001-05-02,327.13,266
2001-05-04,332.0,270
2001-05-07,338.35,274
2001-05-09,344.47,278
2001-05-11,351.06,282
2001-05-14,357.65,286
2001-05-16,364.27,290
2001-05-18,370.9,294
2001-05-21,377.43,298
2001-05-23,384.16,302
2001-05-25,390.88,306
2001-05-28,397.5,310
2001-05-30,404.26,314
2001-06-01,411.03,318
2001-06-04,417.79,322
2001-06-06,424.56,326
2001-06-08,426.58,328
2001-06-11,428.02,330
2001-06-13,456.18,334
2001-06-15,486.34,338
2001-06-18,518.62,342
2001-06-20,553.56,346
2001-06-22,563.0,348
2001-06-25,571.04,349
2001-06-27,531.93,345
2001-06-29,500.28,343
2001-07-02,491.17,342
2001-07-04,512.8,345
2001-07-06,502.93,343
2001-07-09,470.83,339
2001-07-11,436.13,335
2001-07-13,416.46,332
2001-07-16,411.43,330
2001-07-18,438.12,334
2001-07-20,466.67,338
2001-07-23,438.33,334
2001-07-25,450.87,336
2001-07-27,445.37,335
2001-07-30,422.46,331
2001-08-01,395.63,327
2001-08-03,371.76,323
2001-08-06,350.69,320
2001-08-08,373.63,324
2001-08-10,394.18,326
2001-08-13,368.34,322
2001-08-15,344.31,318
2001-08-17,321.83,314
2001-08-20,302.25,310
2001-08-22,320.98,313
2001-08-24,300.03,309
2001-08-27,279.65,305
2001-08-29,261.35,300
2001-08-31,277.4,305
2001-09-05,296.43,310
2001-09-07,307.76,314
2001-09-10,286.55,309
2001-09-12,284.68,309
2001-09-14,274.64,306
2001-09-17,266.09,303
2001-09-19,273.37,306
2001-09-21,272.03,306
2001-09-24,259.75,305
2001-09-26,249.72,301
2001-09-28,244.46,298
2001-10-01,229.06,294
2001-10-03,214.29,290
2001-10-05,203.12,287
2001-10-08,217.1,292
2001-10-10,221.18,297
2001-10-12,225.27,302
2001-10-15,229.35,307
2001-10-17,233.48,312
2001-10-19,237.62,316
2001-10-22,242.01,321
2001-10-24,246.41,326
2001-10-26,250.85,331
2001-10-29,255.55,336
2001-10-31,260.29,341
2001-11-02,265.03,346
2001-11-05,269.77,351
2001-11-07,274.89,356
2001-11-09,280.03,361
2001-11-12,285.06,366
2001-11-14,290.51,371
2001-11-16,295.97,376
2001-11-19,301.09,380
2001-11-21,296.11,375
2001-11-23,292.17,372
2001-11-26,296.9,375
2001-11-28,293.03,372
2001-11-30,288.52,367
2001-12-03,283.02,362
2001-12-05,279.15,358
2001-12-07,275.49,355
2001-12-10,271.62,351
2001-12-12,267.83,347
2001-12-14,263.04,342
2001-12-17,259.08,339
2001-12-19,247.26,337
2001-12-21,250.95,341
2001-12-24,248.05,339
