Date,Number_of_stocks_up_10pct_quarterly,Number_of_stocks_down_10pct_quarterly,Total_stocks
2007-02-27 09:00:00,1,0,1
2007-02-28 09:00:00,1,0,1
2007-03-01 09:00:00,1,0,1
2007-03-02 09:00:00,1,0,1
2007-03-05 09:00:00,1,0,1
2007-03-06 09:00:00,1,0,1
2007-03-07 09:00:00,1,0,1
2007-03-08 09:00:00,1,0,1
2007-03-09 09:00:00,1,0,1
2007-03-12 09:00:00,1,0,1
2007-03-13 09:00:00,1,0,1
2007-03-14 09:00:00,1,0,1
2007-03-15 09:00:00,1,0,1
2007-03-16 09:00:00,1,0,1
2007-03-19 09:00:00,1,0,1
2007-03-20 09:00:00,1,0,1
2007-03-21 09:00:00,2,0,2
2007-03-22 09:00:00,2,0,2
2007-03-23 09:00:00,2,0,2
2007-03-26 09:00:00,2,0,2
2007-03-27 09:00:00,1,0,2
2007-03-28 09:00:00,1,0,2
2007-03-29 09:00:00,2,0,2
2007-03-30 09:00:00,2,0,2
2007-04-02 09:00:00,2,0,2
2007-04-03 09:00:00,1,0,2
2007-04-04 09:00:00,1,0,2
2007-04-05 09:00:00,1,0,2
2007-04-06 09:00:00,2,0,2
2007-04-09 09:00:00,2,0,2
2007-04-10 09:00:00,2,0,2
2007-04-11 09:00:00,2,0,2
2007-04-12 09:00:00,1,0,2
2007-04-13 09:00:00,1,0,2
2007-04-16 09:00:00,1,0,2
2007-04-17 09:00:00,1,0,2
2007-04-18 09:00:00,1,0,2
2007-04-19 09:00:00,1,0,2
2007-04-20 09:00:00,1,1,2
2007-04-23 09:00:00,1,1,2
2007-04-24 09:00:00,1,1,2
2007-04-25 09:00:00,1,1,2
2007-05-02 09:00:00,1,1,2
2007-05-03 09:00:00,1,1,2
2007-05-04 09:00:00,1,1,2
2007-05-07 09:00:00,0,1,2
2007-05-08 09:00:00,1,1,2
2007-05-09 09:00:00,1,1,2
2007-05-10 09:00:00,1,1,2
2007-05-11 09:00:00,1,1,2
2007-05-14 09:00:00,1,1,2
2007-05-15 09:00:00,1,1,2
2007-05-16 09:00:00,1,1,2
2007-05-17 09:00:00,1,0,2
2007-05-18 09:00:00,1,1,2
2007-05-21 09:00:00,1,1,2
2007-05-22 09:00:00,1,0,2
2007-05-23 09:00:00,1,0,2
2007-05-24 09:00:00,1,1,2
2007-05-25 09:00:00,0,1,2
2007-05-28 09:00:00,0,1,2
2007-05-29 09:00:00,0,1,2
2007-05-30 09:00:00,0,2,2
2007-05-31 09:00:00,0,2,2
2007-06-01 09:00:00,0,2,2
2007-06-04 09:00:00,0,2,2
2007-06-05 09:00:00,0,2,2
2007-06-06 09:00:00,0,2,2
2007-06-07 09:00:00,0,2,2
2007-06-08 09:00:00,0,2,2
2007-06-11 09:00:00,0,2,2
2007-06-12 09:00:00,0,2,2
2007-06-13 09:00:00,0,2,2
2007-06-14 09:00:00,0,2,2
2007-06-15 09:00:00,0,2,2
2007-06-18 09:00:00,0,2,2
2007-06-19 09:00:00,0,2,2
2007-06-20 09:00:00,0,2,2
2007-06-21 09:00:00,0,2,2
2007-06-22 09:00:00,0,2,2
2007-06-25 09:00:00,0,2,2
2007-06-26 09:00:00,0,2,2
2007-06-27 09:00:00,0,2,2
2007-06-28 09:00:00,0,1,2
2007-06-29 09:00:00,0,2,2
2007-07-02 09:00:00,0,2,2
2007-07-03 09:00:00,0,2,2
2007-07-04 09:00:00,0,2,2
2007-07-05 09:00:00,0,1,2
2007-07-06 09:00:00,0,2,2
2007-07-09 09:00:00,0,2,2
2007-07-10 09:00:00,0,1,2
2007-07-11 09:00:00,0,2,2
2007-07-12 09:00:00,0,2,2
2007-07-13 09:00:00,0,2,2
2007-07-16 09:00:00,0,2,2
2007-07-17 09:00:00,0,2,2
2007-07-18 09:00:00,0,2,2
