Date,Number_of_stocks_up_2pct,Number_of_stocks_down_2pct,AD_ratio_5day,AD_ratio_10day
2006-11-22 09:00:00,0,0,,
2006-11-23 09:00:00,1,0,,
2006-11-24 09:00:00,1,0,,
2006-11-27 09:00:00,0,1,,
2006-11-28 09:00:00,0,0,2.0,
2006-11-29 09:00:00,0,1,1.0,
2006-11-30 09:00:00,0,0,0.5,
2006-12-01 09:00:00,0,1,0.0,
2006-12-04 09:00:00,0,1,0.0,
2006-12-05 09:00:00,0,1,0.0,0.4
2006-12-06 09:00:00,1,0,0.3333,0.6
2006-12-07 09:00:00,1,0,0.6667,0.6
2006-12-08 09:00:00,1,0,1.5,0.6
2006-12-11 09:00:00,0,0,3.0,0.75
2006-12-12 09:00:00,0,1,3.0,0.6
2006-12-13 09:00:00,1,0,3.0,1.0
2006-12-14 09:00:00,1,0,4.0,1.5
2006-12-15 09:00:00,2,0,5.0,2.6667
2006-12-18 09:00:00,1,0,7.0,5.0
2006-12-19 09:00:00,1,0,8.0,5.5
2006-12-20 09:00:00,1,0,9.0,6.0
2006-12-21 09:00:00,0,1,2.3333,2.75
2006-12-22 09:00:00,0,2,1.0,1.6667
2006-12-25 09:00:00,0,1,0.6667,1.5714
2006-12-26 09:00:00,2,0,1.0,2.1667
2006-12-27 09:00:00,1,0,1.0,2.3333
2006-12-28 09:00:00,0,0,2.0,2.1667
2006-12-29 09:00:00,0,1,3.0,1.5714
2007-01-02 09:00:00,0,1,1.6667,1.0
2007-01-03 09:00:00,1,0,1.6667,1.25
2007-01-04 09:00:00,2,0,1.6667,1.25
2007-01-05 09:00:00,1,0,2.0,2.0
2007-01-08 09:00:00,0,0,1.5,2.0
2007-01-09 09:00:00,0,0,2.0,1.8333
2007-01-10 09:00:00,0,0,2.0,1.8333
2007-01-11 09:00:00,0,0,2.0,1.8333
2007-01-12 09:00:00,1,0,2.0,2.0
2007-01-15 09:00:00,1,0,8.0,2.8
2007-01-16 09:00:00,1,0,,5.3333
2007-01-17 09:00:00,0,1,4.0,2.8
2007-01-18 09:00:00,1,0,4.0,2.8
2007-01-19 09:00:00,2,0,4.0,2.8
